index,MainBranch,Employment,Country,Age1stCode,LearnCode,YearsCode,LanguageHaveWorkedWith,Age,Gender
5237,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,11 - 17 years,Online Forum;Books / Physical media,10,C;Groovy;Java;Python;SQL,25-34 years old,Man
5238,I am a developer by profession,Employed full-time,United States of America,5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Books / Physical media",15,Bash/Shell;C#;Groovy;HTML/CSS;JavaScript;Node.js;PowerShell;SQL;TypeScript,45-54 years old,Man
5239,I am a developer by profession,Employed full-time,Germany,11 - 17 years,Books / Physical media,20,C++;Go;HTML/CSS;Java;JavaScript;Kotlin;Node.js;SQL;TypeScript,35-44 years old,Man
5240,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",7,Assembly;Bash/Shell;C++;F#;Rust,18-24 years old,Man
5241,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Books / Physical media",3,Java;JavaScript,35-44 years old,Man
5242,I am a developer by profession,Employed full-time,Philippines,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum",10,C#;C++;Kotlin;Swift,25-34 years old,Man
5243,I code primarily as a hobby,"Student, full-time",Belgium,5 - 10 years,"Other online resources (ex: videos, blogs, etc)",10,JavaScript;Python;Rust,18-24 years old,Man
5244,I am a developer by profession,Employed full-time,Netherlands,25 - 34 years,"Other online resources (ex: videos, blogs, etc);School;Colleague;Books / Physical media",10,C#;HTML/CSS;JavaScript;PHP,25-34 years old,Man
5245,I am a developer by profession,"Not employed, but looking for work",United States of America,11 - 17 years,Books / Physical media,49,Assembly;Bash/Shell;C#;C++;Haskell;HTML/CSS;LISP;Python;SQL,55-64 years old,"Or, in your own words:"
5246,I am a developer by profession,"Independent contractor, freelancer, or self-employed",United States of America,25 - 34 years,"Other online resources (ex: videos, blogs, etc);Friend or family member",6,HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;TypeScript,35-44 years old,Man
5247,I am a developer by profession,Employed full-time,Nigeria,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",15,HTML/CSS;JavaScript;PHP;Python,25-34 years old,Woman
5248,I am a developer by profession,Employed full-time,India,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum",10,Bash/Shell;C#;Dart;Go;HTML/CSS;JavaScript;Node.js;Rust;SQL;Swift;TypeScript,18-24 years old,Man
5249,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Colleague;Books / Physical media",15,C#;C++;Go;HTML/CSS;Java;Kotlin;Node.js;PowerShell;SQL;TypeScript,25-34 years old,Man
5250,I code primarily as a hobby,"Student, full-time",Germany,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",5,C#;C++;Rust,18-24 years old,Woman
5251,I code primarily as a hobby,I prefer not to say,India,5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",4,C#;C++;HTML/CSS;Java;JavaScript;Python,Under 18 years old,Man
5252,I am a developer by profession,Employed full-time,United States of America,25 - 34 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Books / Physical media",4,HTML/CSS;JavaScript;Node.js;SQL,25-34 years old,Man
5253,I am a student who is learning to code,"Student, full-time",Turkey,18 - 24 years,School,4,C#;Dart;JavaScript,18-24 years old,Man
5254,I am a developer by profession,"Not employed, but looking for work",United States of America,5 - 10 years,Coding Bootcamp;School,12,Assembly;Bash/Shell;C;Go;Julia;Matlab;Python;Ruby;Rust,18-24 years old,Man
5255,I am a developer by profession,Employed full-time,United States of America,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",7,C#,25-34 years old,Woman
5256,I am a developer by profession,Employed full-time,India,11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",7,C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;R;SQL,18-24 years old,Man
5257,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Colleague",5,C#;HTML/CSS;JavaScript;TypeScript;VBA,18-24 years old,Man
5258,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",11,C++;HTML/CSS;PHP,25-34 years old,Man
5259,I am a developer by profession,Employed full-time,Turkey,11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Friend or family member;Online Courses or Certification;Colleague",5,C#;Dart;HTML/CSS;JavaScript;SQL,25-34 years old,Man
5260,I am a developer by profession,Employed full-time,Greece,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",8,JavaScript;Node.js;Swift,25-34 years old,Man
5261,I am a developer by profession,Employed full-time,Germany,25 - 34 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",9,HTML/CSS;Java;PHP,35-44 years old,Man
5262,"I used to be a developer by profession, but no longer am","Not employed, but looking for work",United States of America,11 - 17 years,Online Courses or Certification;Books / Physical media,4,Bash/Shell;Perl;Python,45-54 years old,Man
5263,I am a developer by profession,Employed part-time,Finland,11 - 17 years,School;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media,,HTML/CSS;Java;JavaScript;TypeScript,35-44 years old,Man
5264,I am a developer by profession,Employed full-time,Germany,5 - 10 years,School;Online Courses or Certification;Books / Physical media,20,HTML/CSS;Java;JavaScript;Node.js;Python;TypeScript,35-44 years old,Man
5265,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,School;Friend or family member;Colleague;Books / Physical media,30,C;C#;C++,Prefer not to say,Man
5266,I am a developer by profession,Employed full-time,Mexico,18 - 24 years,School,5,HTML/CSS;Java;JavaScript;PHP;Ruby,18-24 years old,Woman
5267,I code primarily as a hobby,"Student, full-time",Poland,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Books / Physical media",,C#;C++;Dart;HTML/CSS;Java;JavaScript;SQL,Under 18 years old,Man
5268,I am a developer by profession,"Not employed, but looking for work",Egypt,Younger than 5 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Colleague;Books / Physical media",5,Python;SQL,18-24 years old,Man
5269,"I am not primarily a developer, but I write code sometimes as part of my work","Independent contractor, freelancer, or self-employed",Belgium,18 - 24 years,School;Books / Physical media,42,Bash/Shell;Python;SQL,55-64 years old,Man
5270,I am a developer by profession,Employed full-time,Viet Nam,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification;Colleague;Books / Physical media",7,Java,18-24 years old,Man
5271,I am a developer by profession,Employed full-time,Austria,18 - 24 years,School;Books / Physical media,23,Bash/Shell;C;C#;C++;HTML/CSS;JavaScript;Node.js;PHP;PowerShell;Python;SQL;TypeScript,35-44 years old,Man
5272,"I am not primarily a developer, but I write code sometimes as part of my work","Independent contractor, freelancer, or self-employed",Algeria,35 - 44 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Books / Physical media",10,Groovy;Java;JavaScript;Node.js;PHP;Python;SQL,35-44 years old,Man
5273,I am a developer by profession,Employed full-time,United States of America,5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Books / Physical media",20,Bash/Shell;HTML/CSS;Java;JavaScript;SQL,35-44 years old,Man
5274,I am a developer by profession,Employed full-time,India,18 - 24 years,Books / Physical media,15,C#;HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript,35-44 years old,Man
5275,I am a developer by profession,Employed full-time,United States of America,18 - 24 years,Books / Physical media,10,C++;Java;Python;R,Prefer not to say,Man
5276,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Austria,11 - 17 years,Friend or family member;Books / Physical media,24,Bash/Shell;HTML/CSS;JavaScript;Node.js;PHP;SQL,35-44 years old,Man
5277,I am a developer by profession,Employed part-time,Romania,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Colleague",5,C;C#;C++;HTML/CSS;Python;TypeScript,18-24 years old,Man
5278,"I used to be a developer by profession, but no longer am",Employed full-time,Brazil,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",10,C#;Java;SQL,35-44 years old,Man
5279,I am a developer by profession,Employed full-time,India,18 - 24 years,Colleague,21,Java;Python;Ruby,35-44 years old,Man
5280,I am a student who is learning to code,"Student, full-time",Italy,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Books / Physical media",3,Java;PHP;Python,18-24 years old,Man
5281,I am a developer by profession,Employed full-time,Canada,11 - 17 years,School;Books / Physical media,10,Bash/Shell;C++;HTML/CSS;JavaScript;LISP;Python;Rust;TypeScript,25-34 years old,Man
5282,I am a developer by profession,Employed full-time,Netherlands,11 - 17 years,School;Friend or family member;Books / Physical media,26,Bash/Shell;C;C++;Python,35-44 years old,Man
5283,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Books / Physical media",7,HTML/CSS;JavaScript;Kotlin;Node.js;TypeScript,25-34 years old,
5284,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Books / Physical media",9,HTML/CSS;Java;PHP,25-34 years old,Man
5285,"I am not primarily a developer, but I write code sometimes as part of my work",Employed part-time,Poland,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Books / Physical media",8,C;C#;C++;JavaScript;Python,25-34 years old,Man
5286,I am a developer by profession,Employed full-time,Poland,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member",5,Go;HTML/CSS;Java;JavaScript;Python;SQL,25-34 years old,Man
5287,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Other (please specify):;Books / Physical media",21,Bash/Shell;HTML/CSS;Node.js;Python;TypeScript,35-44 years old,Man
5288,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Books / Physical media",5,Groovy;Python;SQL,25-34 years old,Man
5289,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",25,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;PowerShell;SQL,45-54 years old,Man
5290,I am a developer by profession,Employed full-time,United States of America,5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Books / Physical media",20,Assembly;Bash/Shell;C;C++;Go;HTML/CSS;JavaScript;PowerShell;Python;Rust,25-34 years old,Woman
5291,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Canada,18 - 24 years,School;Colleague,12,Python,35-44 years old,Man
5292,I am a developer by profession,"Independent contractor, freelancer, or self-employed",India,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",9,C++;Dart;Java,18-24 years old,Man
5293,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member",20,Bash/Shell;Groovy;HTML/CSS;JavaScript;Node.js;SQL;TypeScript,35-44 years old,Man
5294,I am a developer by profession,Employed full-time,Greece,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Books / Physical media",7,C#;Java;JavaScript;LISP;Node.js;PowerShell;Python;SQL;TypeScript;VBA,25-34 years old,Man
5295,I am a student who is learning to code,"Student, full-time",Germany,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",2,C#;C++;Haskell;HTML/CSS;Java;JavaScript;Node.js;Python;Rust,18-24 years old,Man
5296,I am a developer by profession,Employed full-time,Belarus,5 - 10 years,Books / Physical media,27,Bash/Shell;C;C++;Perl;Python;Rust,25-34 years old,Man
5297,I am a developer by profession,Employed full-time,India,18 - 24 years,Books / Physical media,8,JavaScript;Python;Rust;TypeScript,25-34 years old,Man
5298,I am a developer by profession,Employed full-time,Germany,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Books / Physical media",12,Bash/Shell;C#;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,25-34 years old,Man
5299,None of these,"Student, part-time",United States of America,5 - 10 years,,,C++;HTML/CSS;Java;JavaScript;Node.js;Python;R;Swift;TypeScript,,
5300,I am a developer by profession,"Not employed, but looking for work",United States of America,5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Books / Physical media",23,Bash/Shell;C++;HTML/CSS;JavaScript;PowerShell;Python;SQL,25-34 years old,Man
5301,I am a developer by profession,Employed full-time,India,35 - 44 years,School,22,C;C++;HTML/CSS;Java;JavaScript;Matlab;Node.js;SQL,35-44 years old,Man
5302,I am a developer by profession,Employed full-time,Sweden,11 - 17 years,Online Forum,15,Java;Python;Rust,25-34 years old,Man
5303,I am a developer by profession,Employed full-time,Netherlands,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",12,Bash/Shell;Go;SQL,25-34 years old,Man
5304,I am a developer by profession,Employed full-time,Brazil,11 - 17 years,Online Forum;Books / Physical media,17,Java;Kotlin,25-34 years old,Man
5305,I am a developer by profession,"Independent contractor, freelancer, or self-employed",United States of America,11 - 17 years,Friend or family member;Books / Physical media,25,Python,35-44 years old,Man
5306,I am a student who is learning to code,"Student, full-time",Germany,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Colleague;Books / Physical media",,C;C#;Go;Java;JavaScript;Rust;TypeScript,,
5307,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Croatia,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member",10,HTML/CSS;JavaScript;Node.js;PHP;Rust;SQL;TypeScript,25-34 years old,Man
5308,I am a student who is learning to code,"Student, full-time",Cyprus,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Friend or family member;Books / Physical media",5,APL;C;Go;HTML/CSS;JavaScript;SQL,Under 18 years old,Man
5309,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Courses or Certification",12,Bash/Shell;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL,25-34 years old,Man
5310,I am a student who is learning to code,"Student, full-time",Netherlands,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",9,Elixir;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;SQL;TypeScript,18-24 years old,Man
5311,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Books / Physical media",8,Python,25-34 years old,Man
5312,I am a developer by profession,"Student, part-time",France,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",8,Assembly;Bash/Shell;C;C++;Elixir;HTML/CSS;Java;JavaScript;Node.js;Python;SQL,18-24 years old,Man
5313,I am a developer by profession,Employed full-time,Uruguay,11 - 17 years,Other (please specify):,20,Dart;HTML/CSS;Java;JavaScript;Kotlin;SQL;VBA,35-44 years old,Man
5314,I am a student who is learning to code,"Student, full-time",United Kingdom of Great Britain and Northern Ireland,5 - 10 years,School;Friend or family member;Books / Physical media,6,Bash/Shell;C;C#;C++;HTML/CSS;JavaScript;Python,Prefer not to say,Man
5315,I am a developer by profession,Employed full-time,United States of America,18 - 24 years,Books / Physical media,12,Python;R;SQL,25-34 years old,Man
5316,I am a developer by profession,Employed full-time,China,18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Colleague;Books / Physical media",3,C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;Node.js;TypeScript,18-24 years old,Man
5317,I am a developer by profession,Employed full-time,Canada,18 - 24 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member;Colleague",13,C#;HTML/CSS;JavaScript;Node.js;SQL,35-44 years old,Man
5318,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Czech Republic,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Books / Physical media",37,Java;JavaScript;Scala;TypeScript,45-54 years old,Man
5319,I am a developer by profession,Employed full-time,United States of America,25 - 34 years,Books / Physical media,25,C#;C++;Java;JavaScript;PHP;Python;SQL;VBA,45-54 years old,Man
5320,I am a developer by profession,Employed full-time,Germany,11 - 17 years,School;Books / Physical media,25,Bash/Shell;Java;Scala,35-44 years old,Man
5321,I am a developer by profession,Employed full-time,Armenia,11 - 17 years,Online Forum;Online Courses or Certification;Books / Physical media,16,Java;Kotlin,35-44 years old,Man
5322,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,18 - 24 years,Online Courses or Certification;Other (please specify):;Books / Physical media,7,C;Clojure;JavaScript;Python;Rust;SQL,25-34 years old,Man
5323,I am a developer by profession,Employed full-time,Israel,5 - 10 years,Other (please specify):;Books / Physical media,27,Assembly;Bash/Shell;C;C#;C++;Clojure;Crystal;Dart;Delphi;Elixir;Erlang;F#;Go;Haskell;HTML/CSS;Java;JavaScript;Julia;Kotlin;LISP;Matlab;Node.js;Objective-C;Perl;PHP;PowerShell;Python;R;Ruby;Rust;Scala;SQL;Swift;TypeScript,35-44 years old,Man
5324,I am a developer by profession,Employed full-time,Egypt,11 - 17 years,Online Courses or Certification;Colleague;Books / Physical media,10,HTML/CSS;JavaScript;Node.js;Python;SQL,25-34 years old,Man
5325,I am a developer by profession,Employed full-time,India,11 - 17 years,School,10,C++,25-34 years old,Man
5326,I am a developer by profession,Employed full-time,Greece,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",11,C#;HTML/CSS;Java;JavaScript;Node.js;Python;SQL,25-34 years old,Woman
5327,I am a developer by profession,Employed full-time,United States of America,18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc)",7,Bash/Shell;HTML/CSS;JavaScript;Node.js;Python;Ruby;Rust;SQL,25-34 years old,Man
5328,I am a developer by profession,"Not employed, but looking for work",Lebanon,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Books / Physical media",,Bash/Shell;C#;Dart;Go;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,25-34 years old,Man
5329,I am a developer by profession,Employed full-time,United States of America,5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Other (please specify):;Books / Physical media",20,Bash/Shell;C;C++;Java;JavaScript;Matlab;Python;Ruby,25-34 years old,Man
5330,I code primarily as a hobby,"Not employed, and not looking for work",Russian Federation,5 - 10 years,Online Forum;Friend or family member;Books / Physical media,6,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;Python;TypeScript,Under 18 years old,Man
5331,I code primarily as a hobby,Employed full-time,Finland,25 - 34 years,Books / Physical media,28,Assembly;C;C#;C++;Go;HTML/CSS;Java;JavaScript;Objective-C;Perl;Swift,55-64 years old,Man
5332,I am a student who is learning to code,"Student, full-time",India,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",,C;C++;HTML/CSS;JavaScript;Node.js;Objective-C;Python;SQL;TypeScript,18-24 years old,Man
5333,I code primarily as a hobby,Employed full-time,United Kingdom of Great Britain and Northern Ireland,11 - 17 years,Friend or family member;Books / Physical media,30,C#;Groovy;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL;VBA,45-54 years old,Man
5334,I am a developer by profession,Employed full-time,India,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification;Books / Physical media",10,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;Python;SQL;TypeScript,25-34 years old,Man
5335,I code primarily as a hobby,"Student, full-time",Italy,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",10,Assembly;Bash/Shell;C;C++;HTML/CSS;JavaScript;Kotlin;Node.js;PHP;Python,18-24 years old,Man
5336,I am a developer by profession,Employed full-time,United States of America,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Friend or family member;Books / Physical media",13,Assembly;C;C#;C++;Dart;Rust,18-24 years old,Man
5337,I am a developer by profession,Employed full-time,Russian Federation,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",10,Java;Kotlin,18-24 years old,Man
5338,I am a student who is learning to code,"Student, full-time",India,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",3,C;Go;HTML/CSS;Java;JavaScript;Kotlin;Python,18-24 years old,Man
5339,I am a developer by profession,Employed full-time,Canada,18 - 24 years,School;Online Courses or Certification,10,Java;JavaScript;Node.js;Python;SQL;TypeScript,25-34 years old,Man
5340,I am a developer by profession,Employed full-time,Czech Republic,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Colleague;Books / Physical media",19,Bash/Shell;HTML/CSS;Java;JavaScript;Perl;PHP;Python;SQL,35-44 years old,Man
5341,I am a developer by profession,"Student, full-time",France,11 - 17 years,Online Forum;Online Courses or Certification,8,Assembly;Bash/Shell;C;C#;C++;Java;JavaScript;Kotlin;Matlab;Node.js;PHP;Python;R;SQL;TypeScript,18-24 years old,"Or, in your own words:"
5342,I am a developer by profession,"Independent contractor, freelancer, or self-employed",India,5 - 10 years,Online Courses or Certification,8,C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Objective-C;Python;SQL;Swift;TypeScript,25-34 years old,Man
5343,I am a developer by profession,Employed full-time,Turkey,11 - 17 years,"Other online resources (ex: videos, blogs, etc)",13,C;C++;Java;Kotlin,25-34 years old,Man
5344,I am a developer by profession,Employed full-time,Denmark,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",8,C#;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript;VBA,25-34 years old,Man
5345,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Colleague;Books / Physical media",32,C#;HTML/CSS;JavaScript;Node.js,45-54 years old,Man
5346,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Malaysia,11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",10,Bash/Shell;Go;Groovy;HTML/CSS;JavaScript;PowerShell;Python;R;SQL;VBA,35-44 years old,Man
5347,I am a developer by profession,Employed full-time,Australia,5 - 10 years,Coding Bootcamp;Books / Physical media,42,JavaScript;TypeScript,45-54 years old,Man
5348,I am a developer by profession,Employed full-time,Slovakia,11 - 17 years,Books / Physical media,31,C++;Java;JavaScript;Scala,45-54 years old,Man
5349,None of these,"Not employed, but looking for work",Canada,11 - 17 years,Other (please specify):,25,C;C#;C++;Java;PHP;Python,35-44 years old,Man
5350,I am a developer by profession,Employed full-time,United States of America,5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification;Colleague;Books / Physical media",15,Bash/Shell;C#;JavaScript;Node.js;PowerShell;SQL;TypeScript,35-44 years old,Man
5351,I code primarily as a hobby,Employed part-time,North Korea,18 - 24 years,Colleague,3,C#;HTML/CSS;JavaScript;PowerShell;SQL,,
5352,I am a developer by profession,Employed full-time,India,18 - 24 years,School,6,Java,18-24 years old,Man
5353,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Uzbekistan,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification;Books / Physical media",7,Python,18-24 years old,Man
5354,I code primarily as a hobby,"Not employed, but looking for work",United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",13,Assembly;Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;Python;SQL,25-34 years old,Man
5355,I am a developer by profession,Employed full-time,United States of America,11 - 17 years,School,4,C#;HTML/CSS;JavaScript;Node.js;Rust;SQL;TypeScript,18-24 years old,Man
5356,I am a developer by profession,"Not employed, but looking for work",Latvia,5 - 10 years,Friend or family member;Other (please specify):,22,Assembly;Bash/Shell;C;C++;Go;HTML/CSS;JavaScript;PHP;Python;R;Rust;Scala;SQL;TypeScript,25-34 years old,"Man;Or, in your own words:"
5357,I am a developer by profession,Employed full-time,France,5 - 10 years,Friend or family member;Books / Physical media,15,Bash/Shell;HTML/CSS;JavaScript;Node.js;PHP;Rust;SQL,25-34 years old,Man
5358,I am a developer by profession,Employed full-time,Sweden,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Books / Physical media",18,C#;HTML/CSS;JavaScript;SQL;TypeScript,25-34 years old,Man
5359,I am a developer by profession,Employed full-time,United States of America,5 - 10 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Books / Physical media",20,Assembly;Bash/Shell;C;C++;Haskell;HTML/CSS;JavaScript;Matlab;Python,25-34 years old,Man
5360,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Turkey,18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Books / Physical media",8,HTML/CSS;JavaScript;PHP;Python;SQL,25-34 years old,Man
5361,I am a student who is learning to code,"Student, full-time",Austria,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum",3,C;C#;HTML/CSS;Java;JavaScript;Node.js;Python;SQL,18-24 years old,Man
5362,I code primarily as a hobby,"Student, full-time",United States of America,Younger than 5 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification;Books / Physical media",8,C#;C++;Python,Under 18 years old,"Non-binary, genderqueer, or gender non-conforming;Or, in your own words:"
5363,I am a developer by profession,Employed full-time,Canada,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Books / Physical media",16,Bash/Shell;C#;C++;Go;HTML/CSS;JavaScript;Node.js;Python;R;Rust;TypeScript,25-34 years old,Man
5364,I am a developer by profession,Employed full-time,Uruguay,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Friend or family member;Online Courses or Certification;Books / Physical media",10,Bash/Shell;C#;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;TypeScript,25-34 years old,Man
5365,"I am not primarily a developer, but I write code sometimes as part of my work","Student, full-time",Canada,5 - 10 years,"Other online resources (ex: videos, blogs, etc)",5,C#;C++;HTML/CSS;JavaScript;Kotlin;Node.js;Python;Rust;TypeScript,Under 18 years old,Man
5366,I am a developer by profession,Employed full-time,Portugal,18 - 24 years,Colleague,10,HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL;Swift,25-34 years old,Man
11647,I am a developer by profession,Employed full-time,India,18 - 24 years,Other (please specify):;Books / Physical media,4,HTML/CSS;Java;JavaScript;SQL;TypeScript,18-24 years old,Man
11683,I am a developer by profession,Employed full-time,India,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Books / Physical media",10,Bash/Shell;HTML/CSS;JavaScript;PHP;Python;SQL,25-34 years old,Man
11684,I am a developer by profession,"Independent contractor, freelancer, or self-employed",China,18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification;Books / Physical media",4,HTML/CSS;JavaScript;Node.js;TypeScript,25-34 years old,Man
11685,I am a developer by profession,Employed full-time,Poland,18 - 24 years,Coding Bootcamp;Online Courses or Certification;Books / Physical media,6,Python;Rust;SQL,25-34 years old,Man
